iter	Logloss
0	0.5572624192
1	0.4370968393
2	0.3725270481
3	0.3091505611
4	0.2784861779
5	0.2420874198
6	0.2223067822
7	0.1954382732
8	0.1780821113
9	0.1657268267
10	0.1575431964
11	0.1517322211
12	0.1481996669
13	0.1456587769
14	0.1431687072
15	0.141334238
16	0.1395935479
17	0.1384939654
18	0.1374332363
19	0.1366715524
20	0.1359269329
21	0.1355353838
22	0.1350360764
23	0.1346526462
24	0.1343872595
25	0.1341196262
26	0.1338041643
27	0.1334941164
28	0.1331891639
29	0.1330017576
30	0.1328587101
31	0.132675339
32	0.1325710569
33	0.1324824767
34	0.1323366089
35	0.1321123452
36	0.1320622767
37	0.1319810092
38	0.1319260465
39	0.1318092386
40	0.1317241467
41	0.1316072029
42	0.1315706498
43	0.1315102669
44	0.1314731496
45	0.1314226943
46	0.1312907263
47	0.1312402012
48	0.1312113462
49	0.1311803312
50	0.1311446465
51	0.1311163509
52	0.1310978246
53	0.131010726
54	0.1309898216
55	0.1309298706
56	0.1308851077
57	0.1308409303
58	0.1308164775
59	0.1308013679
60	0.1307750553
61	0.130734255
62	0.1307183125
63	0.1306976415
64	0.1306751701
65	0.1306376245
66	0.1306030376
67	0.1305625096
68	0.1305399421
69	0.130516263
70	0.1304998558
71	0.1304766013
72	0.1304529742
73	0.1304461123
74	0.1304211023
75	0.1303900269
76	0.1303769972
77	0.1303650546
78	0.1303543658
79	0.1303389291
80	0.1303244045
81	0.1302977616
82	0.1302768502
83	0.1302697859
84	0.1302573722
85	0.1302350163
86	0.1302152105
87	0.1302069334
88	0.1301861696
89	0.1301712054
90	0.1301612146
91	0.1301507768
92	0.1301346157
93	0.1301297127
94	0.1301069983
95	0.1300902189
96	0.1300718843
97	0.1300561966
98	0.1300473935
99	0.1300403305
100	0.1300320472
101	0.1300181778
102	0.1300038428
103	0.1299882995
104	0.1299819618
105	0.129966995
106	0.1299565829
107	0.129946431
108	0.1299044287
109	0.1298836558
110	0.1298834327
111	0.1298740399
112	0.1298683344
113	0.1298615111
114	0.1298466279
115	0.1298297954
116	0.1298232784
117	0.1298170856
118	0.1298023389
119	0.1297911501
120	0.1297911501
121	0.1297911501
122	0.1297788074
123	0.1297788074
124	0.1297722853
125	0.1297722779
126	0.1297544201
127	0.1297544201
128	0.1297480183
129	0.1297479451
130	0.1297479451
131	0.1297249938
132	0.1297182875
133	0.1297085678
134	0.1296838814
135	0.1296632403
