iter	Passed	Remaining
0	60	60174
1	69	34533
2	78	26169
3	87	21845
4	96	19259
5	105	17438
6	114	16204
7	123	15301
8	132	14566
9	141	14039
10	150	13550
11	159	13129
12	168	12796
13	176	12463
14	185	12175
15	194	11949
16	202	11732
17	212	11591
18	222	11462
19	231	11359
20	241	11241
21	250	11142
22	259	11020
23	269	10962
24	279	10898
25	289	10861
26	298	10754
27	308	10708
28	318	10679
29	328	10616
30	341	10659
31	350	10607
32	360	10552
33	370	10536
34	380	10497
35	389	10431
36	398	10370
37	407	10314
38	416	10268
39	425	10220
40	434	10163
41	443	10111
42	451	10053
43	461	10027
44	469	9969
45	479	9949
46	490	9950
47	501	9951
48	510	9909
49	519	9869
50	528	9829
51	539	9834
52	550	9843
53	561	9834
54	572	9839
55	581	9808
56	592	9802
57	602	9788
58	612	9775
59	622	9749
60	632	9734
61	640	9690
62	651	9682
63	661	9675
64	670	9643
65	679	9622
66	690	9620
67	700	9601
68	710	9584
69	718	9550
70	728	9525
71	739	9527
72	748	9498
73	757	9477
74	766	9458
75	778	9460
76	787	9438
77	800	9460
78	810	9449
79	819	9420
80	828	9400
81	839	9397
82	851	9407
83	861	9394
84	870	9365
85	879	9350
86	890	9346
87	900	9331
88	909	9309
89	917	9280
90	929	9282
91	937	9255
92	948	9249
93	957	9228
94	967	9216
95	976	9198
96	989	9208
97	1002	9224
98	1012	9214
99	1022	9202
100	1031	9184
101	1041	9167
102	1051	9158
103	1061	9147
104	1073	9150
105	1082	9130
106	1091	9109
107	1102	9109
108	1115	9115
109	1124	9101
110	1132	9074
111	1143	9063
112	1151	9042
113	1161	9026
114	1172	9021
115	1182	9007
116	1190	8985
117	1200	8971
118	1211	8970
119	1223	8972
120	1231	8944
121	1239	8917
122	1248	8900
123	1255	8872
124	1265	8857
125	1275	8847
126	1286	8843
127	1296	8830
128	1306	8824
129	1317	8817
130	1326	8799
131	1338	8798
132	1348	8793
133	1358	8776
134	1368	8771
135	1379	8762
136	1390	8760
137	1403	8764
138	1414	8762
139	1425	8758
140	1434	8737
141	1446	8741
142	1457	8735
143	1466	8715
144	1477	8711
145	1488	8706
146	1496	8682
147	1505	8665
148	1518	8672
149	1527	8657
150	1537	8645
151	1547	8632
152	1558	8627
153	1569	8620
154	1578	8607
155	1588	8594
156	1598	8581
157	1609	8574
158	1618	8561
159	1629	8553
160	1638	8539
161	1650	8539
162	1661	8529
163	1672	8527
164	1685	8527
165	1697	8528
166	1708	8522
167	1719	8516
168	1729	8506
169	1740	8498
170	1750	8488
171	1760	8473
172	1770	8463
173	1780	8450
174	1790	8440
175	1800	8429
176	1811	8421
177	1821	8411
178	1832	8402
179	1843	8396
180	1853	8387
181	1865	8382
182	1876	8377
183	1886	8368
184	1897	8360
185	1908	8354
186	1919	8346
187	1930	8339
188	1939	8322
189	1949	8311
190	1959	8300
191	1969	8289
192	1980	8280
193	1993	8284
194	2005	8277
195	2015	8268
196	2025	8257
197	2037	8253
198	2048	8246
199	2059	8236
200	2070	8230
201	2081	8222
202	2092	8216
203	2102	8205
204	2114	8199
205	2124	8189
206	2134	8176
207	2143	8162
208	2152	8147
209	2162	8135
210	2171	8119
211	2180	8105
212	2191	8095
213	2201	8085
214	2212	8077
215	2224	8074
216	2234	8062
217	2244	8051
218	2255	8042
219	2266	8034
220	2278	8032
221	2289	8024
222	2300	8014
223	2311	8005
224	2320	7994
225	2331	7984
226	2342	7976
227	2352	7966
228	2363	7958
229	2373	7947
230	2383	7935
231	2394	7928
232	2405	7917
233	2414	7905
234	2426	7898
235	2440	7900
236	2448	7883
237	2459	7875
238	2471	7868
239	2483	7863
240	2494	7857
241	2508	7858
242	2519	7850
243	2532	7845
244	2542	7836
245	2553	7827
246	2563	7814
247	2573	7804
248	2583	7790
249	2591	7775
250	2601	7762
251	2610	7748
252	2619	7734
253	2628	7720
254	2638	7707
255	2646	7692
256	2656	7678
257	2665	7665
258	2674	7652
259	2683	7638
260	2692	7624
261	2701	7609
262	2709	7593
263	2718	7578
264	2726	7561
265	2734	7546
266	2743	7530
267	2751	7515
268	2760	7501
269	2771	7493
270	2781	7483
271	2790	7468
272	2799	7454
273	2807	7440
274	2820	7434
275	2828	7420
276	2837	7406
277	2846	7393
278	2855	7380
279	2864	7365
280	2872	7350
281	2882	7338
282	2891	7324
283	2900	7312
284	2908	7296
285	2917	7282
286	2925	7267
287	2935	7256
288	2942	7238
289	2950	7224
290	2960	7212
291	2969	7198
292	2976	7183
293	2986	7171
294	2997	7164
295	3007	7153
296	3017	7141
297	3025	7126
298	3035	7115
299	3044	7102
300	3052	7089
301	3061	7076
302	3072	7067
303	3079	7051
304	3087	7036
305	3095	7021
306	3104	7007
307	3113	6994
308	3121	6981
309	3129	6964
310	3136	6949
311	3143	6932
312	3151	6918
313	3159	6902
314	3167	6887
315	3174	6872
316	3182	6856
317	3189	6840
318	3196	6824
319	3205	6812
320	3213	6796
321	3221	6782
322	3228	6766
323	3234	6749
324	3241	6732
325	3248	6716
326	3255	6699
327	3261	6682
328	3267	6665
329	3274	6648
330	3280	6630
331	3288	6616
332	3295	6600
333	3301	6583
334	3310	6571
335	3316	6554
336	3324	6540
337	3331	6525
338	3338	6508
339	3344	6493
340	3351	6476
341	3357	6460
342	3363	6443
343	3369	6425
344	3374	6406
345	3379	6387
346	3384	6368
347	3391	6355
348	3397	6337
349	3402	6319
350	3407	6301
351	3412	6282
352	3418	6264
353	3424	6249
354	3429	6230
355	3434	6212
356	3438	6193
357	3443	6174
358	3448	6156
359	3452	6138
360	3457	6119
361	3461	6101
362	3466	6083
363	3470	6064
364	3475	6046
365	3480	6028
366	3485	6011
367	3490	5994
368	3494	5976
369	3499	5958
370	3505	5942
371	3509	5924
372	3514	5907
373	3518	5889
374	3523	5872
375	3528	5855
376	3532	5837
377	3537	5820
378	3541	5802
379	3546	5786
380	3552	5771
381	3556	5753
382	3560	5736
383	3565	5719
384	3569	5702
385	3574	5686
386	3578	5668
387	3583	5652
388	3587	5635
389	3592	5618
390	3596	5601
391	3601	5586
392	3605	5569
393	3609	5552
394	3614	5536
395	3618	5519
396	3623	5503
397	3627	5486
398	3632	5471
399	3636	5454
400	3640	5438
401	3646	5424
402	3650	5408
403	3655	5392
404	3659	5376
405	3663	5360
406	3667	5344
407	3672	5328
408	3677	5313
409	3681	5297
410	3685	5281
411	3689	5266
412	3694	5250
413	3698	5235
414	3703	5220
415	3707	5205
416	3712	5190
417	3717	5175
418	3722	5161
419	3727	5147
420	3732	5132
421	3737	5118
422	3742	5105
423	3746	5089
424	3751	5075
425	3756	5061
426	3760	5046
427	3766	5033
428	3772	5020
429	3776	5006
430	3781	4991
431	3786	4978
432	3791	4964
433	3796	4950
434	3800	4935
435	3805	4922
436	3810	4908
437	3814	4894
438	3819	4880
439	3824	4867
440	3829	4853
441	3833	4839
442	3838	4825
443	3843	4812
444	3847	4798
445	3853	4786
446	3858	4773
447	3863	4760
448	3868	4747
449	3872	4733
450	3878	4720
451	3882	4707
452	3886	4692
453	3891	4680
454	3896	4666
455	3900	4652
456	3905	4640
457	3909	4627
458	3913	4613
459	3918	4599
460	3921	4585
461	3925	4571
462	3929	4558
463	3933	4544
464	3938	4531
465	3942	4518
466	3946	4504
467	3950	4490
468	3954	4477
469	3958	4463
470	3962	4449
471	3965	4436
472	3969	4423
473	3973	4409
474	3977	4395
475	3981	4382
476	3985	4369
477	3989	4356
478	3993	4343
479	3997	4330
480	4001	4317
481	4004	4303
482	4008	4291
483	4012	4277
484	4016	4265
485	4021	4252
486	4024	4239
487	4028	4226
488	4032	4214
489	4036	4201
490	4040	4188
491	4043	4175
492	4047	4162
493	4051	4149
494	4054	4136
495	4058	4123
496	4061	4110
497	4065	4098
498	4069	4085
499	4072	4072
500	4077	4060
501	4081	4048
