number,is_cached
46,0
16,0
44,0
0,0
236,0
0,1
10,0
2,0
1,0
2,1
0,1
7,0
24,0
16,1
95,0
423,0
45,0
4,0
0,1
0,1
43,0
0,1
3,0
0,1
0,1
0,1
7,1
4,1
54,0
0,1
42,0
1,1
44,1
75,0
0,1
320,0
41,0
3,1
1,1
0,1
28,0
4,1
7,1
5,0
0,1
13,0
5,1
2,1
21,0
3,1
3,1
0,1
0,1
89,0
5,1
4,1
924,0
12,0
14,0
10,1
140,0
5,1
92,0
5,1
4,1
1,1
1,1
7,1
2,1
50,0
1,1
24,1
36,0
18,0
85,0
63,0
18,1
67,0
3,1
371,0
2,1
1,1
39,0
12,1
2,1
0,1
15,0
11,0
7,1
13,1
0,1
2,1
38,0
13,1
3,1
349,0
40,0
0,1
7,1
0,1
63,1
1,1
0,1
199,0
5,1
0,1
26,0
0,1
33,0
13,1
2,1
52,0
334,0
938,0
2,1
2,1
101,0
50,1
19,0
183,0
0,1
1,1
1,1
3,1
0,1
126,0
5,1
1,1
87,0
3,1
0,1
167,0
66,0
236,1
130,0
0,1
41,1
0,1
0,1
15,1
4,1
2,1
2,1
29,0
2,1
41,1
0,1
18,1
0,1
3,1
2,1
6,0
22,0
34,0
6,1
7,1
3,1
66,1
0,1
2,1
8,0
0,1
1,1
3,1
5,1
0,1
12,1
854,0
234,0
2,1
5,1
1,1
4,1
1,1
1,1
4,1
17,0
0,1
6,1
2,1
50,1
3,1
0,1
0,1
16,1
1,1
0,1
224,0
70,0
3,1
0,1
22,1
569,0
1,1
0,1
16,1
10,1
0,1
196,0
4,1
0,1
0,1
258,0
4,1
85,1
3,1
3,1
1,1
0,1
0,1
1,1
174,0
4,1
0,1
0,1
0,1
0,1
0,1
0,1
463,0
3,1
3,1
0,1
0,1
3,1
0,1
0,1
2,1
117,0
18,1
1,1
321,0
2,1
11,1
6,1
3,1
16,1
361,0
0,1
3,1
95,1
17,1
0,1
57,0
16,1
253,0
0,1
149,0
0,1
3,1
3,1
15,1
311,0
34,1
1,1
0,1
1,1
2,1
0,1
0,1
0,1
0,1
4,1
1,1
0,1
2,1
8,1
0,1
25,0
64,0
6,1
0,1
0,1
11,1
656,0
7,1
0,1
39,1
0,1
7,1
149,1
287,0
0,1
58,0
407,0
8,1
33,1
0,1
728,0
0,1
0,1
97,0
4,1
28,1
601,0
4,1
0,1
481,0
20,0
4,1
0,1
0,1
0,1
196,1
0,1
1,1
0,1
3,1
14,1
2,1
13,1
1,1
230,0
34,1
29,1
0,1
0,1
2,1
257,0
0,1
5,1
990,0
107,0
87,1
11,1
4,1
137,0
14,1
17,1
0,1
248,0
69,0
0,1
630,0
0,1
0,1
11,1
169,0
9,0
0,1
638,0
404,0
8,1
0,1
3,1
104,0
309,0
0,1
0,1
10,1
0,1
0,1
20,1
7,1
2,1
22,1
8,1
0,1
4,1
41,1
111,0
0,1
6,1
9,1
0,1
3,1
76,0
0,1
416,0
5,1
2,1
154,0
3,1
12,1
37,0
141,0
4,1
27,0
0,1
2,1
4,1
0,1
89,1
2,1
0,1
0,1
0,1
10,1
16,1
17,1
2,1
0,1
70,1
7,1
54,1
922,0
4,1
29,1
0,1
2,1
28,1
20,1
3,1
2,1
1,1
3,1
9,1
2,1
52,1
5,1
117,1
2,1
0,1
11,1
24,1
16,1
6,1
1,1
3,1
23,0
1,1
0,1
21,1
1,1
382,0
0,1
326,0
1,1
96,0
17,1
118,0
72,0
179,0
0,1
0,1
2,1
1,1
1,1
1,1
0,1
76,1
4,1
0,1
2,1
3,1
229,0
14,1
873,0
422,0
433,0
15,1
311,1
2,1
1,1
9,1
1,1
3,1
205,0
5,1
12,1
6,1
7,1
47,0
9,1
442,0
10,1
93,0
40,1
0,1
8,1
1,1
10,1
33,1
2,1
32,0
17,1
0,1
0,1
111,1
14,1
3,1
316,0
400,0
3,1
5,1
0,1
0,1
202,0
30,0
60,0
25,1
0,1
16,1
0,1
19,1
19,1
19,1
4,1
13,1
93,1
105,0
2,1
0,1
8,1
0,1
23,1
0,1
5,1
1,1
9,1
31,0
0,1
0,1
5,1
1,1
185,0
14,1
0,1
2,1
0,1
2,1
10,1
4,1
0,1
1,1
0,1
5,1
17,1
576,0
0,1
84,0
64,1
1,1
48,0
30,1
82,0
6,1
3,1
17,1
3,1
39,1
0,1
3,1
0,1
332,0
0,1
731,0
4,1
2,1
384,0
1,1
24,1
0,1
3,1
0,1
5,1
7,1
0,1
5,1
94,0
36,1
0,1
0,1
1,1
67,1
0,1
1,1
194,0
2,1
566,0
56,0
17,1
0,1
1,1
573,0
0,1
2,1
45,1
66,1
87,1
39,1
7,1
0,1
7,1
29,1
7,1
153,0
38,1
19,1
895,0
4,1
17,1
3,1
1,1
88,0
2,1
0,1
7,1
4,1
10,1
0,1
3,1
47,1
141,1
4,1
0,1
8,1
3,1
2,1
1,1
92,1
1,1
19,1
2,1
2,1
15,1
56,1
91,0
0,1
6,1
0,1
1,1
1,1
1,1
2,1
9,1
129,0
0,1
64,1
23,1
261,0
0,1
3,1
156,0
0,1
19,1
272,0
18,1
0,1
1,1
1,1
32,1
5,1
3,1
120,0
7,1
0,1
7,1
6,1
19,1
4,1
0,1
3,1
13,1
1,1
0,1
1,1
8,1
63,1
1,1
1,1
720,0
10,1
0,1
1,1
3,1
675,0
0,1
7,1
0,1
69,1
2,1
31,1
0,1
4,1
1,1
2,1
0,1
248,1
6,1
0,1
27,1
28,1
36,1
0,1
798,0
12,1
0,1
4,1
116,0
14,1
0,1
4,1
0,1
29,1
4,1
7,1
69,1
40,1
1,1
11,1
17,1
10,1
4,1
4,1
0,1
0,1
17,1
13,1
74,0
11,1
41,1
0,1
0,1
0,1
1,1
0,1
2,1
0,1
0,1
4,1
6,1
505,0
712,0
0,1
10,1
1,1
0,1
0,1
16,1
1,1
0,1
5,1
349,1
4,1
538,0
2,1
15,1
0,1
0,1
355,0
87,1
110,0
849,0
18,1
294,0
63,1
0,1
80,0
8,1
0,1
26,1
0,1
0,1
0,1
0,1
1,1
0,1
5,1
6,1
84,1
1,1
12,1
1,1
15,1
213,0
2,1
2,1
0,1
8,1
0,1
0,1
841,0
3,1
13,1
50,1
20,1
9,1
96,1
7,1
76,1
53,0
591,0
67,1
43,1
0,1
5,1
236,1
289,0
0,1
0,1
9,1
46,1
627,0
11,1
12,1
4,1
927,0
8,1
0,1
5,1
358,0
6,1
0,1
11,1
5,1
98,0
0,1
487,0
10,1
0,1
0,1
18,1
0,1
2,1
576,1
12,1
68,0
526,0
290,0
204,0
1,1
28,1
2,1
0,1
0,1
4,1
0,1
13,1
408,0
21,1
4,1
1,1
13,1
257,1
69,1
0,1
186,0
5,1
243,0
35,0
1,1
5,1
1,1
10,1
1,1
142,0
8,1
5,1
11,1
225,0
385,0
0,1
1,1
2,1
211,0
0,1
22,1
10,1
19,1
3,1
11,1
1,1
7,1
3,1
17,1
142,1
7,1
134,0
0,1
614,0
71,0
0,1
14,1
107,1
0,1
3,1
6,1
24,1
775,0
0,1
2,1
2,1
329,0
4,1
0,1
143,0
1,1
1,1
3,1
0,1
19,1
1,1
711,0
1,1
0,1
0,1
4,1
0,1
72,1
8,1
14,1
301,0
8,1
2,1
60,1
92,1
0,1
4,1
13,1
1,1
0,1
2,1
0,1
1,1
9,1
19,1
66,1
469,0
2,1
25,1
0,1
0,1
51,0
3,1
38,1
18,1
0,1
74,1
4,1
0,1
13,1
361,1
58,1
0,1
5,1
214,0
26,1
30,1
7,1
175,0
1,1
0,1
7,1
0,1
65,0
4,1
10,1
0,1
1,1
46,1
1,1
16,1
102,0
130,1
7,1
5,1
43,1
0,1
301,1
10,1
1,1
0,1
10,1
1,1
1,1
0,1
210,0
2,1
0,1
944,0
4,1
8,1
13,1
0,1
263,0
0,1
0,1
0,1
36,1
3,1
142,1
0,1
38,1
2,1
34,1
123,0
1,1
79,0
0,1
0,1
2,1
7,1
0,1
13,1
65,1
0,1
6,1
0,1
0,1
0,1
316,1
26,1
3,1
0,1
3,1
2,1
1,1
27,1
7,1
7,1
0,1
47,1
810,0
5,1
67,1
1,1
2,1
13,1
13,1
0,1
1,1
55,0
23,1
0,1
3,1
1,1
52,1
0,1
40,1
0,1
28,1
269,0
10,1
2,1
0,1
563,0
0,1
11,1
4,1
9,1
6,1
0,1
1,1
140,1
138,0
17,1
0,1
759,0
0,1
315,0
1,1
483,0
6,1
656,1
558,0
35,1
8,1
4,1
0,1
1,1
14,1
337,0
1,1
2,1
2,1
4,1
9,1
10,1
0,1
615,0
0,1
3,1
51,1
5,1
57,1
1,1
0,1
15,1
2,1
96,1
1,1
4,1
21,1
3,1
9,1
178,0
1,1
0,1
28,1
1,1
41,1
976,0
5,1
359,0
12,1
1,1
571,0
85,1
0,1
169,1
7,1
1,1
0,1
19,1
668,0
2,1
76,1
236,1
469,1
0,1
0,1
0,1
110,1
27,1
11,1
153,1
0,1
1,1
2,1
13,1
18,1
3,1
0,1
83,0
185,1
5,1
11,1
142,1
520,0
6,1
0,1
0,1
6,1
142,1
1,1
0,1
0,1
2,1
0,1
258,1
7,1
20,1
67,1
49,0
50,1
16,1
0,1
0,1
0,1
0,1
0,1
4,1
107,1
2,1
778,0
4,1
0,1
2,1
0,1
177,0
16,1
0,1
0,1
914,0
2,1
0,1
2,1
1,1
5,1
5,1
35,1
2,1
415,0
14,1
1,1
110,1
31,1
45,1
4,1
120,1
3,1
3,1
5,1
0,1
0,1
7,1
1,1
693,0
35,1
0,1
7,1
13,1
5,1
131,0
30,1
13,1
3,1
0,1
2,1
4,1
42,1
16,1
0,1
4,1
5,1
0,1
83,1
1,1
1,1
146,0
9,1
25,1
83,1
334,1
0,1
28,1
0,1
32,1
230,1
20,1
468,0
1,1
9,1
3,1
113,0
141,1
27,1
1,1
10,1
0,1
4,1
487,1
2,1
0,1
1,1
15,1
152,0
53,1
4,1
947,0
30,1
27,1
2,1
0,1
18,1
0,1
1,1
5,1
0,1
17,1
19,1
23,1
4,1
1,1
510,0
231,0
0,1
0,1
1,1
37,1
1,1
0,1
148,0
827,0
5,1
23,1
1,1
0,1
23,1
7,1
1,1
1,1
30,1
6,1
2,1
9,1
100,0
403,0
164,0
2,1
146,1
28,1
1,1
4,1
306,0
3,1
0,1
7,1
0,1
3,1
80,1
0,1
0,1
60,1
5,1
1,1
273,0
135,0
1,1
220,0
732,0
1,1
0,1
7,1
0,1
13,1
25,1
3,1
27,1
220,1
0,1
11,1
38,1
27,1
190,0
2,1
9,1
8,1
4,1
3,1
32,1
6,1
51,1
131,1
596,0
535,0
328,0
11,1
5,1
120,1
4,1
869,0
0,1
306,1
432,0
4,1
2,1
11,1
209,0
0,1
2,1
937,0
4,1
1,1
2,1
3,1
0,1
4,1
113,1
0,1
2,1
0,1
38,1
8,1
0,1
64,1
523,0
12,1
32,1
0,1
39,1
2,1
3,1
0,1
19,1
4,1
160,0
2,1
0,1
0,1
41,1
3,1
283,0
3,1
825,0
0,1
22,1
0,1
246,0
0,1
0,1
0,1
909,0
2,1
3,1
2,1
7,1
106,0
3,1
10,1
2,1
32,1
7,1
17,1
1,1
99,0
0,1
0,1
6,1
0,1
1,1
15,1
321,1
6,1
0,1
0,1
68,1
353,0
11,1
0,1
398,0
42,1
89,1
1,1
0,1
1,1
63,1
87,1
0,1
598,0
0,1
1,1
167,1
14,1
10,1
1,1
151,0
1,1
197,0
97,1
11,1
0,1
0,1
0,1
277,0
0,1
0,1
719,0
63,1
0,1
55,1
10,1
41,1
7,1
0,1
68,1
81,0
0,1
2,1
28,1
2,1
143,1
22,1
255,0
8,1
0,1
0,1
4,1
7,1
0,1
0,1
43,1
0,1
0,1
1,1
1,1
155,0
23,1
0,1
0,1
